title,terr,dist,currency,ended,cume_bo,cume_adm,w_cume,w_adm,w_screen,w_rank,date,end_date,start_2,end_2,start_3,end_3,start_4,end_4,start_5,end_5,start_6,end_6,start_7,end_7,start_8,end_8,start_9,end_9,start_10,end_10
A Private War,Argentina,CDC,ARS,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Australia,Madman,AUS,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Austria,Ascot Elite,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Bahrain,Selim,BHD,Complete,0,,,,1,,2018-11-08,2018-11-11,2018-11-15,2018-11-18,2018-11-22,2018-11-25,2018-11-29,2018-12-02,2018-12-06,2018-12-09,2018-12-13,2018-12-16,2018-12-20,2018-12-23,2018-12-27,2018-12-30,2019-01-03,2019-01-06,2019-01-10,2019-01-13
A Private War,Belgium,Splendid Film,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Bolivia,CDC,BOB,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Brazil,CDC,BRL,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Canada,Aviron,CAD,Complete,0,,,,,,2018-11-16,2018-11-18,2018-11-23,2018-11-25,2018-11-30,2018-12-02,2018-12-07,2018-12-09,2018-12-14,2018-12-16,2018-12-21,2018-12-23,2018-12-28,2018-12-30,2019-01-04,2019-01-06,2019-01-11,2019-01-13,2019-01-18,2019-01-20
A Private War,Chile,CDC,CLP,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,China,Vision,CNH,Undated,0,,,,,,TBD,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Colombia,CDC,COP,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Croatia,Blitz,HRK,Complete,0,,,,27,,2019-01-10,2019-01-13,2019-01-17,2019-01-20,2019-01-24,2019-01-27,2019-01-31,2019-02-03,2019-02-07,2019-02-10,2019-02-14,2019-02-17,2019-02-21,2019-02-24,2019-02-28,2019-03-03,2019-03-07,2019-03-10,2019-03-14,2019-03-17
A Private War,Czech Republic,AQS,CZK,N/A,0,,,,,,STTV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Denmark,Nordisk,DKK,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Ecuador,CDC,USD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Egypt,Selim,EGP,Complete,0,,,,,,2018-12-05,2018-12-09,2018-12-12,2018-12-16,2018-12-19,2018-12-23,2018-12-26,2018-12-30,2019-01-02,2019-01-06,2019-01-09,2019-01-13,2019-01-16,2019-01-20,2019-01-23,2019-01-27,2019-01-30,2019-02-03,2019-02-06,2019-02-10
A Private War,Finland,Nordisk,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,France,Metropolitan,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Germany,Ascot Elite,EUD,N/A,0,,,,,,STV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Private War,Greece,Odeon,EUD,Complete,0,,,,5,,2018-12-13,2018-12-16,2018-12-20,2018-12-23,2018-12-27,2018-12-30,2019-01-03,2019-01-06,2019-01-10,2019-01-13,2019-01-17,2019-01-20,2019-01-24,2019-01-27,2019-01-31,2019-02-03,2019-02-07,2019-02-10,2019-02-14,2019-02-17
A Private War,Hong Kong,Edko,HKD,Complete,0,,,,3,,2019-01-24,2019-01-27,2019-01-31,2019-02-03,2019-02-07,2019-02-10,2019-02-14,2019-02-17,2019-02-21,2019-02-24,2019-02-28,2019-03-03,2019-03-07,2019-03-10,2019-03-14,2019-03-17,2019-03-21,2019-03-24,2019-03-28,2019-03-31
