"title,terr,dist,currency,ended,Box Office Release Date,Weeks in Release,cume_bo,cume_adm"
"A Private War,Argentina,CDC,ARS,N/A,STV,,0,0"
"A Private War,Australia,Madman,AUS,N/A,STV,,0,0"
"A Private War,Austria,Ascot Elite,EUD,N/A,STV,,0,0"
"A Private War,Bahrain,Selim,BHD,Complete,43412,2,4067,1072"
"A Private War,Belgium,Splendid Film,EUD,N/A,STV,,0,0"
"A Private War,Bolivia,CDC,BOB,N/A,STV,,0,0"
"A Private War,Brazil,CDC,BRL,N/A,STV,,0,0"
"A Private War,Canada,Aviron,CAD,Complete,43420,,0,0"
"A Private War,Chile,CDC,CLP,N/A,STV,,0,0"
"A Private War,China,Vision,CNH,Undated,TBD,,0,0"
"A Private War,Colombia,CDC,COP,N/A,STV,,0,0"
"A Private War,Croatia,Blitz,HRK,Complete,43475,3,114210.26,3956"
"A Private War,Czech Republic,AQS,CZK,N/A,STTV,,0,0"
"A Private War,Denmark,Nordisk,DKK,N/A,STV,,0,0"
"A Private War,Ecuador,CDC,USD,N/A,STV,,0,0"
"A Private War,Egypt,Selim,EGP,Complete,43439,1,187826,2682"
"A Private War,Finland,Nordisk,EUD,N/A,STV,,0,0"
"A Private War,France,Metropolitan,EUD,N/A,STV,,0,0"
"A Private War,Germany,Ascot Elite,EUD,N/A,STV,,0,0"
"A Private War,Greece,Odeon,EUD,Complete,43447,4,23243,3583"
"A Private War,Hong Kong,Edko,HKD,Complete,43489,6,872836,11514"
"A Private War,Hungary,AQS,HUF,N/A,STTV,,0,0"
"A Private War,Iceland,Sena,ISK,N/A,STV,,0,0"
"A Private War,India,PVR,INR,Complete,43427,3,3508260,12899"
"A Private War,Indonesia,PT Prima,IDR,Complete,43536,3,1835764000,37265"
"A Private War,Iraq,Selim,IQD,Complete,43412,3,18879000,2063"
"A Private War,Israel,United King,ILS,Complete,43601,6,478068.8,16902"
"A Private War,Italy,Notorious,EUD,Complete,43426,5,316917,50227"
"A Private War,Japan,Happinet,YEN,Complete,43722,15,26320500,20564"
"A Private War,Jordan,Selim,JOD,Complete,43412,6,18614,2532"
"A Private War,Kuwait,Selim,KWD,Complete,43412,3,17530,4887"
"A Private War,Lebanon,Selim,LBP,Complete,43412,4,135182250,9084"
"A Private War,Mexico,CDC,MXN,N/A,STV,,0,0"
"A Private War,Netherlands,Splendid Film,EUD,Complete,43552,17,215768,27431"
"A Private War,New Zealand,Madman,NZD,N/A,STV,,0,0"
"A Private War,Norway,Nordisk,NOK,N/A,STV,,0,0"
"A Private War,Oman,Selim,OMR,N/A,BAN,,0,0"
"A Private War,Paraguay,CDC,PYG,N/A,STV,,0,0"
"A Private War,Peru,CDC,PEN,N/A,STV,,0,0"
"A Private War,Philippines,Reality,PHP,Complete,43432,1,434842.65,1768"
"A Private War,Poland,Monolith,PLN,N/A,STV,,0,0"
"A Private War,Portugal,Lusomundo,EUD,Complete,43426,5,49741,9119"
"A Private War,Qatar,Selim,QAR,Complete,43412,3,88145,1988"
"A Private War,Romania,AQS,RON,N/A,STTV,,0,0"
"A Private War,Russia,Russia World Vision,RUB,Complete,43531,5,1369241,4623"
"A Private War,Serbia,Blitz,RSD,N/A,STV,,0,0"
"A Private War,Singapore,Golden Village,SGD,Complete,43496,5,62738.84,5005"
"A Private War,Slovakia,AQS,EUD,N/A,STTV,,0,0"
"A Private War,Slovenia,Blitz,EUD,N/A,STV,,0,0"
"A Private War,South Africa,CDC,ZAR,N/A,STV,,0,0"
"A Private War,South Korea,Joy N Contents Group,KRW,Undated,TBD,,0,0"
"A Private War,Spain,Dea Planeta,EUD,Complete,43616,9,136493,27059"
"A Private War,Sweden,Nordisk,SEK,N/A,STV,,0,0"
"A Private War,French-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"A Private War,German-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"A Private War,Italian-Speaking Switzerland,Ascot Elite,CHF,N/A,STV,,0,0"
"A Private War,Taiwan,Cai Chang,TWD,Complete,43469,5,3241456,14454"
"A Private War,Turkey,Bir,TRY,N/A,STV,,0,0"
"A Private War,Ukraine,Russia World Vision,UAH,Complete,43566,3,197233,2038"
"A Private War,United Arab Emirates,Selim,AED,Complete,43412,4,443572,10530"
"A Private War,United Kingdom,Aviron,GPB,Complete,43511,7,535570,0"
"A Private War,United States,Aviron,USD,Complete,43406,12,1633208,0"
"A Private War,Uruguay,CDC,UYU,N/A,STV,,0,0"
"A Private War,Venezuela,CDC,VEF,N/A,STV,,0,0"
"A Walk Among The Tombstones,Argentina,CDC,ARS,Complete,41956,31,9876768,206449"
"A Walk Among The Tombstones,Australia,Roadshow,AUS,Complete,41928,6,2682733,0"
"A Walk Among The Tombstones,Austria,SquareOne,EUD,Complete,41956,5,419772,50822"
"A Walk Among The Tombstones,Bahrain,Front Row,BHD,Undated,TBD,,0,0"
"A Walk Among The Tombstones,Belgium,A-Film,EUD,Complete,41934,8,319308,0"
"A Walk Among The Tombstones,Bolivia,CDC,BOB,Complete,41970,4,312452,7843"
"A Walk Among The Tombstones,Brazil,CDC,BRL,Complete,41977,17,4314816,366972"
"A Walk Among The Tombstones,Bulgaria,A-Company,BGN,Complete,41936,4,125049,0"
