id,name,weekend_start,region_id,continent_id,default_currency,is_displayed
1,United States,Friday,1,1,USD,t
2,Admiralty Island,Friday,26,33,XCD,
3,Afghanistan,Friday,35,6,AFN,
4,Albania,Friday,8,5,ALL,
5,Algeria,Friday,23,4,DZD,
6,Alto Adige,Friday,24,5,EUR,
7,Andorra,Friday,28,5,EUR,
8,Angola,Friday,22,4,AOA,
9,Antigua and Barbuda,Friday,15,29,XCD,
10,Argentina,Friday,2,2,ARS,t
11,Armenia,Friday,9,6,AMD,
12,Aruba,Friday,15,29,AWG,
13,Ashmore Islands,Friday,26,33,AUD,
14,Australia,Thursday,26,26,AUD,t
15,Austria,Friday,18,5,EUR,t
16,Azerbaijan,Friday,9,6,AZN,
17,Bahamas,Friday,29,29,BSD,
18,Bahrain,Friday,7,6,BHD,t
19,Baleares Islands,Friday,28,33,EUR,
20,Bangladesh,Friday,30,6,BDT,
21,Barbados,Friday,15,29,BBD,
22,Belarus,Friday,9,5,BYN,
23,Belgium,Wednesday,17,5,EUR,t
24,Belize,Friday,3,2,BZD,
25,Benin,Friday,23,4,XOF,
26,Bermuda,Friday,29,29,BMD,
27,Bhutan,Friday,30,6,BTN,
28,Bolivia,Friday,2,2,BOB,t
29,Bosnia and Herzegovina,Friday,10,5,BAM,
30,Botswana,Friday,13,4,BWP,
31,Brazil,Thursday,2,2,BRL,t
32,Brunei,Friday,35,6,BND,
33,Bulgaria,Friday,8,5,BGN,t
34,Burkina Faso,Friday,23,4,XOF,
35,Burundi,Friday,23,4,BIF,
36,Cabo Verde,Friday,22,4,CVE,
37,Cambodia,Friday,6,6,KHR,t
38,Cameroon,Friday,23,4,XAF,
39,Canada,Friday,1,1,CAD,t
40,Canary Islands,Friday,28,33,EUR,
41,Cayman Island,Friday,15,29,KYD,
42,Central African Republic,Friday,23,4,XAF,
43,Chad,Friday,23,4,XAF,
44,Chile,Friday,2,2,CLP,t
45,China,Friday,6,6,CNY,t
46,Christmas Islands,Friday,26,33,AUD,
47,Clipperton Island,Friday,23,33,EUR,
48,Colombia,Friday,2,2,COP,t
49,Comoros,Friday,23,4,KMF,
50,Congo (Congo-Brazzaville),Friday,23,4,XAF,
51,Cook Islands,Friday,27,33,NZD,
52,Costa Rica,Friday,3,2,CRC,
53,Côte d'Ivoire,Friday,23,4,XOF,
54,Croatia,Friday,10,5,HRK,t
55,Cuba,Friday,29,33,CUP,
56,Curacao,Friday,15,29,ANG,
57,Cyprus,Friday,31,5,EUR,
58,Czech Republic,Thursday,21,5,CZK,
